Whiting Oil & Gas,,,,,,,,,,,,
Horsetail 08D 1701,,,,,,,,,,,,
"Weld County, Colorado (NAD 83)",,,,,,,,,,,,
North Reference: True,,,,,,,,,,,,
KB-MSL: 4974.70 ,,,,,,,,,,,,
Ground Level: 4956.20 ,,,,,,,,,,,,
Design #1,,,,,,,,,,,,
,,,,,,,,,,,,
 , , , , , , , , , ,Dogleg,,
MD,INC,AZI,TVD,N/-S,E/-W,X,Y,Lat,Long,Severity,Vert Sec,
,,,,,,,,,,,,
4200,13.08,337,4194.334,68.418,-29.042,3474731.365,1560722.855,40° 51' 35.816 N,103° 47' 1.360 W,2,-67.868, 
4296,15,337,4287.462,89.855,-38.141,3474721.852,1560744.112,40° 51' 36.027 N,103° 47' 1.478 W,2,-89.133,"Hold 15.00° Inc, 337.00° Azm"
4300,15,337,4291.326,90.808,-38.546,3474721.43,1560745.057,40° 51' 36.037 N,103° 47' 1.483 W,0,-90.079, 
4400,15,337,4387.918,114.633,-48.659,3474710.858,1560768.681,40° 51' 36.272 N,103° 47' 1.615 W,0,-113.712, 
4500,15,337,4484.511,138.457,-58.772,3474700.285,1560792.306,40° 51' 36.508 N,103° 47' 1.746 W,0,-137.345, 
4600,15,337,4581.103,162.282,-68.884,3474689.713,1560815.93,40° 51' 36.743 N,103° 47' 1.878 W,0,-160.977, 
4700,15,337,4677.696,186.106,-78.997,3474679.141,1560839.554,40° 51' 36.978 N,103° 47' 2.010 W,0,-184.61, 
4800,15,337,4774.289,209.93,-89.11,3474668.569,1560863.178,40° 51' 37.214 N,103° 47' 2.141 W,0,-208.243, 
4900,15,337,4870.881,233.755,-99.223,3474657.997,1560886.802,40° 51' 37.449 N,103° 47' 2.273 W,0,-231.876, 
5000,15,337,4967.474,257.579,-109.336,3474647.425,1560910.427,40° 51' 37.685 N,103° 47' 2.405 W,0,-255.509, 
5100,15,337,5064.066,281.404,-119.449,3474636.853,1560934.051,40° 51' 37.920 N,103° 47' 2.536 W,0,-279.142, 
5116.02,15,337,5079.541,285.22,-121.069,3474635.159,1560937.836,40° 51' 37.958 N,103° 47' 2.557 W,0,-282.928,Begin 11.00°/100' Build & Turn
5150,11.673,329.552,5112.602,292.234,-124.53,3474631.563,1560944.781,40° 51' 38.027 N,103° 47' 2.602 W,11,-289.877, 
5200,7.504,307.36,5161.909,298.581,-129.692,3474626.279,1560951.026,40° 51' 38.090 N,103° 47' 2.669 W,11,-296.127, 
5250,6.052,260.906,5211.593,300.146,-134.894,3474621.048,1560952.491,40° 51' 38.105 N,103° 47' 2.737 W,11,-297.596, 
5300,8.788,222.625,5261.199,296.917,-140.088,3474615.918,1560949.162,40° 51' 38.073 N,103° 47' 2.805 W,11,-294.27, 
5350,13.346,206.187,5310.268,288.922,-145.225,3474610.936,1560941.069,40° 51' 37.994 N,103° 47' 2.872 W,11,-286.181, 
5400,18.42,198.322,5358.349,276.235,-150.259,3474606.149,1560928.286,40° 51' 37.869 N,103° 47' 2.937 W,11,-273.403, 
5450,23.679,193.812,5404.999,258.972,-155.143,3474601.6,1560910.933,40° 51' 37.698 N,103° 47' 3.001 W,11,-256.053, 
5500,29.024,190.876,5449.789,237.294,-159.832,3474597.331,1560889.168,40° 51' 37.484 N,103° 47' 3.062 W,11,-234.292, 
5550,34.415,188.79,5492.306,211.399,-164.283,3474593.382,1560863.191,40° 51' 37.228 N,103° 47' 3.120 W,11,-208.319, 
5600,39.832,187.21,5532.159,181.526,-168.455,3474589.789,1560833.243,40° 51' 36.933 N,103° 47' 3.174 W,11,-178.373, 
5650,45.266,185.954,5568.981,147.949,-172.31,3474586.584,1560799.598,40° 51' 36.601 N,103° 47' 3.224 W,11,-144.732, 
